result_id,session_id,name,value
15608469048f0d439319bb2f585c8c2c,sess_83ceded62ec7430f,item_sabon_body_scrub_qty,3
283f4c2c403c70e6e9c096a3581d9ff5,sess_83ceded62ec7430f,item_sabon_body_scrub_price,119
b4acdd73f9db827b2c9d88c6563a584a,sess_83ceded62ec7430f,item_ahava_hand_cream_qty,3
8d12c7e9c1f79780b3bd908b6f2611ba,sess_83ceded62ec7430f,item_ahava_hand_cream_price,99
dd43823e045c407e4775bbb5d8a2e108,sess_83ceded62ec7430f,item_elite_chocolate_box_qty,3
aafebde7f536c03ed7a4c0416b267af7,sess_83ceded62ec7430f,item_elite_chocolate_box_price,45
7db790c2dd1823124b3f3fe6c966ba14,sess_83ceded62ec7430f,item_dead_sea_mud_mask_qty,1
1c574236563bb3c555d7fee3e91a513d,sess_83ceded62ec7430f,item_dead_sea_mud_mask_price,89
578ba9e088315abac60349a638d798e5,sess_83ceded62ec7430f,item_linen_table_runner_qty,1
88b817c096f9c93d93883bc9e1077c4f,sess_83ceded62ec7430f,item_linen_table_runner_price,78
772dd59892f50411e74e8fa58a4809c2,sess_83ceded62ec7430f,item_shabbat_candle_set_qty,1
f7bb0074ea3d39f6e73761d12e1d569e,sess_83ceded62ec7430f,item_shabbat_candle_set_price,28
be92fd005b277553817946c1e43840ca,sess_eba4a746add34754,total,3077
4d2df612dcf4a5adfd2917b727e9178c,sess_eba4a746add34754,item_count,9
8325c45e559456dda9765669fb725bc8,sess_eba4a746add34754,item_elite_chocolate_box_qty,4
e3bd1104079564b853daf4cdcebaf91b,sess_eba4a746add34754,item_elite_chocolate_box_price,45
0898e9000df606aba9830ba052f3f164,sess_eba4a746add34754,item_sabon_body_scrub_qty,4
592c8450fc0b2402c7d123819a976cc8,sess_eba4a746add34754,item_sabon_body_scrub_price,119
c1ada2160bd0c43799f20f5751ca9363,sess_eba4a746add34754,item_ahava_hand_cream_qty,4
a59feeaac1ca068abf4ea9fefb1152a7,sess_eba4a746add34754,item_ahava_hand_cream_price,99
7c3619430847344d364793bfa315fc46,sess_eba4a746add34754,item_dead_sea_mud_mask_qty,2
cabc873317b5376837fe049e09e56058,sess_eba4a746add34754,item_dead_sea_mud_mask_price,89
0a9cd7d025afd29e90e30b7bb3014b55,sess_eba4a746add34754,item_galil_wine_red_qty,3
b908570a04aa459650f342fc069f178a,sess_eba4a746add34754,item_galil_wine_red_price,95
8b0c6acb6908e0b9e79b357932a4c944,sess_eba4a746add34754,item_soda_stream_spark_qty,4
1cae59bae938cd568d39a06f681ff62b,sess_eba4a746add34754,item_soda_stream_spark_price,349
9e6a7bc00f5e9678baa31078e24f1fa3,sess_eba4a746add34754,item_shabbat_candle_set_qty,2
39451d0d09c71289d316938112774f53,sess_eba4a746add34754,item_shabbat_candle_set_price,28
6110749edf87ecf83dfbc00cb85b35bb,sess_eba4a746add34754,item_bamba_family_pack_qty,1
a4ac3e912d26148fa780266aa4b4b6af,sess_eba4a746add34754,item_bamba_family_pack_price,32
f955f20edf42d5ef42b96d91989b008b,sess_eba4a746add34754,item_linen_table_runner_qty,1
8ce48a8c9c1b6137f623dd1dd2e9547c,sess_eba4a746add34754,item_linen_table_runner_price,78
